-36.22,22.47,-10.18,-16.13,38.04,50.22,53.24
54.12,63.63,41.66,0.11,49.76,26.39,63.29
11.23,-12.91,-32.28,-14.53,-30.68,62.32,16.10
65.13,66.33,51.51,-25.37,-33.46,17.73,-29.28
-34.26,-1.96,38.20,18.41,59.76,18.02,30.27
-34.12,-4.45,48.11,57.73,18.43,25.38,37.20
17.09,-27.17,49.73,-7.76,-6.67,61.91,42.87
-11.48,57.78,0.14,8.86,59.81,56.75,38.44
-27.66,39.88,45.45,53.85,11.06,27.08,29.34
-19.83,-25.40,35.23,66.68,-13.13,18.94,-4.34
49.83,-23.63,60.86,10.02,18.01,0.99,42.67
-12.84,-29.36,39.86,3.25,8.82,-12.78,-7.73
51.79,53.61,-5.26,-21.83,46.46,-7.62,16.46
-0.94,-5.95,20.57,-33.58,-28.11,6.11,34.00
66.87,-16.34,-29.79,5.96,-18.36,25.58,-36.36
66.78,61.31,31.98,7.20,50.88,60.99,-29.38
16.48,41.73,52.60,54.49,-19.12,-30.98,-7.22
-17.28,-26.55,38.42,57.19,-5.05,54.52,7.26
-2.86,27.67,67.36,49.96,42.45,-13.76,24.70
60.01,-16.09,2.90,-6.90,-30.48,44.49,31.35
